pair,price,today_high,today_low,change_from_prev_close,adr_used_pct,adr_used,adr_remaining,price_zone,prev_high,prev_low,prev_close_ny,prev2_close_ny,pivot,r1,r2,s1,s2,adr20,adr20_pips,atr14,atr14_pips,atr_sl_1_0,atr_sl_1_5,prev_day_range_pct,dxy,dxy_change_pct,us2y,us2y_change,us10y,us10y_change,vix,vix_change_pct,daily_as_of,intraday_as_of
USDJPY,159.317,159.365,157.672,1.523,144.1,1.694,0,R1_to_R2,158.579,156.759,157.794,158.471,157.711,158.662,159.53,156.843,155.891,1.175,117,1.221,122,1.221,1.832,154.9,99.82,0.22,4.17,0.02,4.699,0.039,15.46,3.76,2026-08-08T07:53:36+09:00,2026-08-11T06:01:14+09:00
EURUSD,1.15432,1.15668,1.154,-0.00164,47.6,0.00268,0.00295,S1_to_Pivot,1.15802,1.15172,1.15596,1.15244,1.15523,1.15875,1.16153,1.15245,1.14893,0.00563,56,0.00564,56,0.00564,0.00846,111.9,99.82,0.22,4.17,0.02,4.699,0.039,15.46,3.76,2026-08-08T07:53:36+09:00,2026-08-11T06:01:14+09:00
GBPUSD,1.35078,1.35312,1.34834,0.00142,61.1,0.00478,0.00304,Pivot_to_R1,1.35093,1.34347,1.34936,1.34541,1.34792,1.35237,1.35538,1.34491,1.34046,0.00782,78,0.00734,73,0.00734,0.01101,95.4,99.82,0.22,4.17,0.02,4.699,0.039,15.46,3.76,2026-08-08T07:53:36+09:00,2026-08-11T06:01:14+09:00
EURJPY,183.899,183.943,182.266,1.507,129.2,1.677,0,R1_to_R2,183.07,181.314,182.392,182.633,182.259,183.203,184.014,181.448,180.503,1.298,130,1.352,135,1.352,2.028,135.3,99.82,0.22,4.17,0.02,4.699,0.039,15.46,3.76,2026-08-08T07:53:36+09:00,2026-08-11T06:01:14+09:00
AUDUSD,0.7054,0.70745,0.70534,-0.00135,45.1,0.00211,0.00257,S1_to_Pivot,0.70773,0.70227,0.70675,0.70322,0.70558,0.7089,0.71104,0.70344,0.70012,0.00468,47,0.0047,47,0.0047,0.00705,116.7,99.82,0.22,4.17,0.02,4.699,0.039,15.46,3.76,2026-08-08T07:53:36+09:00,2026-08-11T06:01:14+09:00
EURGBP,0.85453,0.85712,0.85368,-0.00205,107.2,0.00344,0,S2_to_S1,0.85939,0.85613,0.85658,0.85662,0.85737,0.8586,0.86063,0.85534,0.85411,0.00321,32,0.00297,30,0.00297,0.00445,101.6,99.82,0.22,4.17,0.02,4.699,0.039,15.46,3.76,2026-08-08T07:53:36+09:00,2026-08-11T06:01:14+09:00
USDCAD,1.39409,1.39643,1.39268,0,63,0.00375,0.0022,S1_to_Pivot,1.40297,1.39244,1.39409,1.40132,1.3965,1.40056,1.40703,1.39003,1.38597,0.00595,59,0.00597,60,0.00597,0.00895,177,99.82,0.22,4.17,0.02,4.699,0.039,15.46,3.76,2026-08-08T07:53:36+09:00,2026-08-11T06:01:14+09:00
USDCHF,0.81029,0.81049,0.80697,0.00226,59.4,0.00352,0.00241,Pivot_to_R1,0.81294,0.80588,0.80803,0.8124,0.80895,0.81202,0.81601,0.80496,0.80189,0.00593,59,0.00574,57,0.00574,0.00861,119.1,99.82,0.22,4.17,0.02,4.699,0.039,15.46,3.76,2026-08-08T07:53:36+09:00,2026-08-11T06:01:14+09:00
NZDUSD,0.58821,0.58998,0.58786,-0.00126,45.5,0.00212,0.00254,S1_to_Pivot,0.5907,0.58628,0.58947,0.58696,0.58882,0.59135,0.59324,0.58693,0.5844,0.00466,47,0.00458,46,0.00458,0.00687,94.8,99.82,0.22,4.17,0.02,4.699,0.039,15.46,3.76,2026-08-08T07:53:36+09:00,2026-08-11T06:01:14+09:00
AUDNZD,1.19923,1.2008,1.19816,0.00036,43.1,0.00264,0.00348,Pivot_to_R1,1.20152,1.19657,1.19887,1.19806,1.19899,1.2014,1.20394,1.19645,1.19404,0.00612,61,0.00598,60,0.00598,0.00897,80.9,99.82,0.22,4.17,0.02,4.699,0.039,15.46,3.76,2026-08-08T07:53:36+09:00,2026-08-11T06:01:14+09:00
XAUUSD,4389.99,4395.6,4313.51,47.36,87.3,82.1,11.94,Pivot_to_R1,4371.01,4230.24,4342.63,4240.82,4314.63,4399.02,4455.4,4258.25,4173.86,94.04,940,100.26,1003,100.26,150.39,149.7,99.82,0.22,4.17,0.02,4.699,0.039,15.46,3.76,2026-08-08T07:53:36+09:00,2026-08-11T06:01:14+09:00
USOIL,81.48,81.58,76.99,5.11,96.9,4.59,0.14,above_R2,77.89,75.67,76.37,77.43,76.64,77.62,78.87,75.4,74.42,4.73,473,4.81,481,4.81,7.21,46.9,99.82,0.22,4.17,0.02,4.699,0.039,15.46,3.76,2026-08-08T07:53:36+09:00,2026-08-11T06:01:14+09:00
