date,pair,session_date,prev_high,prev_low,close_ny,adr20,atr14,pivot,r1,r2,s1,s2,range_pct
2026-07-15,USDJPY,2026-07-14,162.486,161.641,162.272,0.693,0.698,162.133,162.625,162.979,161.78,161.288,121.9
2026-07-15,EURUSD,2026-07-14,1.1462,1.13784,1.14211,0.00465,0.00483,1.14205,1.14626,1.15041,1.1379,1.13369,179.8
2026-07-15,GBPUSD,2026-07-14,1.34382,1.33408,1.33916,0.00551,0.0059,1.33902,1.34396,1.34876,1.33422,1.32928,176.8
2026-07-15,EURJPY,2026-07-14,185.904,184.812,185.333,0.856,0.882,185.349,185.887,186.441,184.795,184.258,127.6
2026-07-15,AUDUSD,2026-07-14,0.6992,0.69133,0.69744,0.00342,0.00373,0.69599,0.70065,0.70386,0.69278,0.68812,230.1
2026-07-15,EURGBP,2026-07-14,0.85611,0.85161,0.85289,0.00277,0.00279,0.85354,0.85546,0.85804,0.85096,0.84904,162.5
2026-07-15,XAUUSD,2026-07-14,4099.2,3985.81,4052.83,71.08,74.91,4045.95,4106.09,4159.34,3992.69,3932.56,159.5
2026-07-16,USDJPY,2026-07-15,162.423,161.897,162.196,0.7,0.688,162.172,162.447,162.699,161.921,161.646,75.1
2026-07-16,EURUSD,2026-07-15,1.14818,1.14068,1.14633,0.00474,0.00502,1.14506,1.14945,1.15256,1.14195,1.13756,158.2
2026-07-16,GBPUSD,2026-07-15,1.35583,1.33784,1.35393,0.00605,0.00679,1.3492,1.36056,1.36719,1.34257,1.33121,297.4
2026-07-16,EURJPY,2026-07-15,186.026,185.203,185.931,0.865,0.88,185.72,186.237,186.543,185.414,184.897,95.1
2026-07-16,AUDUSD,2026-07-15,0.70212,0.69694,0.70069,0.00347,0.00384,0.69992,0.70289,0.7051,0.69771,0.69474,149.3
2026-07-16,EURGBP,2026-07-15,0.85385,0.84536,0.84671,0.00309,0.0032,0.84864,0.85192,0.85713,0.84343,0.84015,274.8
2026-07-16,XAUUSD,2026-07-15,4080.35,4016.65,4060.43,70.25,74.21,4052.48,4088.3,4116.17,4024.6,3988.78,90.7
2026-07-17,USDJPY,2026-07-16,162.548,162.005,162.379,0.711,0.677,162.311,162.616,162.854,162.073,161.768,76.4
2026-07-17,EURUSD,2026-07-16,1.1477,1.14313,1.14431,0.00457,0.005,1.14505,1.14696,1.14962,1.14239,1.14048,100
2026-07-17,GBPUSD,2026-07-16,1.3546,1.34601,1.34802,0.00622,0.00692,1.34954,1.35308,1.35813,1.34449,1.34095,138.1
2026-07-17,EURJPY,2026-07-16,186.027,185.716,185.807,0.825,0.84,185.85,185.984,186.161,185.673,185.539,37.7
2026-07-17,AUDUSD,2026-07-16,0.70123,0.69868,0.69981,0.00339,0.00374,0.69991,0.70113,0.70246,0.69858,0.69736,75.2
2026-07-17,EURGBP,2026-07-16,0.84936,0.84651,0.8489,0.00303,0.00318,0.84826,0.85,0.85111,0.84715,0.84541,94.1
2026-07-17,XAUUSD,2026-07-16,4068.68,3969,3976.78,69.67,76.2,4004.82,4040.64,4104.5,3940.96,3905.14,143.1
2026-07-18,USDJPY,2026-07-17,162.525,162.166,162.411,0.724,0.656,162.367,162.568,162.726,162.21,162.009,49.6
2026-07-18,EURUSD,2026-07-17,1.14522,1.14239,1.14377,0.00464,0.00485,1.14379,1.1452,1.14662,1.14237,1.14096,61
2026-07-18,GBPUSD,2026-07-17,1.34845,1.34245,1.34523,0.00647,0.00687,1.34538,1.3483,1.35138,1.3423,1.33938,92.7
2026-07-18,EURJPY,2026-07-17,185.961,185.476,185.761,0.834,0.817,185.733,185.989,186.218,185.504,185.248,58.2
2026-07-18,AUDUSD,2026-07-17,0.70013,0.69665,0.69811,0.00354,0.00374,0.6983,0.69994,0.70178,0.69646,0.69482,98.3
2026-07-18,EURGBP,2026-07-17,0.85143,0.84841,0.85028,0.00311,0.00318,0.85004,0.85167,0.85306,0.84865,0.84702,97.1
2026-07-18,XAUUSD,2026-07-17,4022.85,3961.81,4016.98,72.2,75.14,4000.54,4039.28,4061.59,3978.24,3939.5,84.5
2026-07-21,USDJPY,2026-07-20,162.613,162.268,162.508,0.687,0.579,162.463,162.658,162.808,162.313,162.118,50.2
2026-07-21,EURUSD,2026-07-20,1.14496,1.14033,1.14146,0.0045,0.00452,1.14225,1.14417,1.14688,1.13954,1.13762,102.9
2026-07-21,GBPUSD,2026-07-20,1.34804,1.34153,1.34313,0.00616,0.00619,1.34423,1.34694,1.35074,1.34043,1.33772,105.7
2026-07-21,EURJPY,2026-07-20,185.892,185.373,185.496,0.772,0.755,185.587,185.8,186.105,185.282,185.068,67.2
2026-07-21,AUDUSD,2026-07-20,0.70149,0.69643,0.69992,0.00337,0.00352,0.69928,0.70213,0.70434,0.69707,0.69422,150.1
2026-07-21,EURGBP,2026-07-20,0.85109,0.84826,0.84987,0.00313,0.003,0.84974,0.85122,0.85257,0.84839,0.84691,90.4
2026-07-21,XAUUSD,2026-07-20,4039.42,3983.43,4008.3,65.24,65.58,4010.39,4037.34,4066.38,3981.35,3954.39,85.8
2026-07-22,USDJPY,2026-07-21,163.246,162.453,163.209,0.699,0.595,162.969,163.485,163.762,162.692,162.176,113.4
2026-07-22,EURUSD,2026-07-21,1.1429,1.13976,1.13979,0.00433,0.00442,1.14082,1.14187,1.14396,1.13873,1.13768,72.5
2026-07-22,GBPUSD,2026-07-21,1.34562,1.336,1.3374,0.00627,0.00644,1.33967,1.34335,1.34929,1.33373,1.33005,153.4
2026-07-22,EURJPY,2026-07-21,186.129,185.409,186.024,0.762,0.752,185.854,186.299,186.574,185.578,185.133,94.5
2026-07-22,AUDUSD,2026-07-21,0.70268,0.69935,0.69981,0.00334,0.00349,0.70061,0.70188,0.70394,0.69855,0.69728,99.7
2026-07-22,EURGBP,2026-07-21,0.85389,0.84905,0.85227,0.0031,0.00314,0.85174,0.85442,0.85658,0.84958,0.8469,156.1
2026-07-22,USDCAD,2026-07-21,1.41114,1.40548,1.41111,0.00462,0.00479,1.40924,1.41301,1.4149,1.40735,1.40358,122.5
2026-07-22,XAUUSD,2026-07-21,4086.91,3999.74,4077.83,61.79,67.17,4054.83,4109.91,4142,4022.74,3967.65,141.1
2026-07-23,USDJPY,2026-07-22,163.313,162.837,163.161,0.688,0.637,163.104,163.37,163.579,162.895,162.629,69.2
2026-07-23,EURUSD,2026-07-22,1.14218,1.1398,1.14128,0.00521,0.00517,1.14109,1.14237,1.14347,1.13999,1.13871,45.7
2026-07-23,GBPUSD,2026-07-22,1.33949,1.33553,1.33761,0.0075,0.0077,1.33754,1.33956,1.3415,1.3356,1.33358,52.8
2026-07-23,EURJPY,2026-07-22,186.245,185.826,186.215,0.813,0.78,186.096,186.365,186.514,185.946,185.677,51.5
2026-07-23,AUDUSD,2026-07-22,0.70129,0.69813,0.69978,0.00414,0.00434,0.69973,0.70134,0.70289,0.69818,0.69657,76.3
2026-07-23,EURGBP,2026-07-22,0.85419,0.85169,0.85322,0.00344,0.00338,0.85303,0.85438,0.85553,0.85188,0.85053,72.7
2026-07-23,USDCAD,2026-07-22,1.41118,1.40771,1.40882,0.00537,0.00544,1.40924,1.41076,1.41271,1.40729,1.40577,64.6
2026-07-23,XAUUSD,2026-07-22,4165.68,4075.31,4130.29,92.37,94.54,4123.76,4172.21,4214.13,4081.84,4033.39,97.8
2026-07-24,USDJPY,2026-07-23,163.98,163.005,163.87,0.717,0.662,163.619,164.232,164.593,163.257,162.644,136
2026-07-24,EURUSD,2026-07-23,1.14363,1.13645,1.13779,0.00529,0.00532,1.13929,1.14213,1.14647,1.13495,1.13211,135.7
2026-07-24,GBPUSD,2026-07-23,1.33937,1.33003,1.3315,0.00761,0.00783,1.33363,1.33724,1.34297,1.3279,1.32429,122.7
2026-07-24,EURJPY,2026-07-23,186.726,186.046,186.448,0.814,0.774,186.407,186.768,187.087,186.087,185.726,83.5
2026-07-24,AUDUSD,2026-07-23,0.70211,0.69623,0.69681,0.00422,0.00446,0.69838,0.70054,0.70426,0.69466,0.6925,139.3
2026-07-24,EURGBP,2026-07-23,0.85478,0.85275,0.85452,0.00344,0.00327,0.85402,0.85528,0.85605,0.85325,0.85199,59
2026-07-24,USDCAD,2026-07-23,1.41001,1.40579,1.4085,0.00523,0.00538,1.4081,1.41041,1.41232,1.40619,1.40388,80.7
2026-07-24,USDCHF,2026-07-23,0.81781,0.81303,0.81691,0.00499,0.00505,0.81592,0.8188,0.8207,0.81402,0.81114,95.8
2026-07-24,NZDUSD,2026-07-23,0.58232,0.57626,0.57712,0.00443,0.0047,0.57857,0.58087,0.58463,0.57481,0.57251,136.8
2026-07-24,AUDNZD,2026-07-23,1.20901,1.20126,1.20731,0.00617,0.00644,1.20586,1.21046,1.21361,1.20271,1.19811,125.6
2026-07-24,XAUUSD,2026-07-23,4141.06,4040.27,4049.52,93.4,95.76,4076.95,4113.63,4177.74,4012.83,3976.15,107.9
2026-07-25,USDJPY,2026-07-24,163.941,163.651,163.854,0.716,0.635,163.815,163.979,164.105,163.69,163.526,40.5
2026-07-25,EURUSD,2026-07-24,1.14,1.13654,1.13723,0.00507,0.00519,1.13792,1.13931,1.14138,1.13585,1.13446,68.2
2026-07-25,GBPUSD,2026-07-24,1.3349,1.33065,1.33245,0.00757,0.00757,1.33267,1.33468,1.33692,1.33043,1.32842,56.1
